1:1:32:13.4585:0:0:0:1
1:1:64:7.69231:0:0:0:1
1:1:96:10.9633:0:0:0:1
1:1:128:20.4499:0:0:0:1
1:1:160:27.5392:0:0:0:1
1:4:32:40.1267:0:0:0:4
1:4:64:34.1842:0:0:0:4
1:4:96:52.907:0:0:0:4
1:4:128:51.1546:0:0:0:4
1:4:160:83.3535:0:0:0:4
1:7:32:61.1601:0:0:0:7
1:7:64:45.7163:0:0:0:7
1:7:96:62.141:0:0:0:7
1:7:128:83.6981:0:0:0:7
1:7:160:144.754:0:0:0:7
1:10:32:94.0306:0:0:0:10
1:10:64:74.8741:0:0:0:10
1:10:96:94.8677:0:0:0:10
1:10:128:99.8126:0:0:0:10
1:10:160:140.443:0:0:0:10
1:1:32:7.75157:0:0:0:1
1:1:64:11.3115:0:0:0:1
1:1:96:19.6973:0:0:0:1
1:1:128:18.1435:0:0:0:1
1:1:160:19.5758:0:0:0:1
1:1:192:21.3949:0:0:0:1
1:1:224:19.227:0:0:0:1
1:1:256:20.337:0:0:0:1
1:1:288:28.5794:0:0:0:1
1:1:320:27.7398:0:0:0:1
1:1:352:14.5439:0:0:0:1
1:1:384:31.1732:0:0:0:1
1:1:416:29.8837:0:0:0:1
1:1:448:27.8006:0:0:0:1
1:1:480:23.3613:0:0:0:1
1:1:512:41.1723:0:0:0:1
1:1:544:35.9558:0:0:0:1
1:1:576:24.8673:0:0:0:1
1:1:608:36.1462:0:0:0:1
1:1:640:38.2901:0:0:0:1
1:1:672:42.936:0:0:0:1
1:1:704:37.4382:0:0:0:1
1:1:736:55.1152:0:0:0:1
1:1:768:41.4593:0:0:0:1
1:1:800:65.3182:0:0:0:1
1:1:832:54.8146:0:0:0:1
1:1:864:65.7541:0:0:0:1
1:1:896:42.3544:0:0:0:1
1:1:928:81.3042:0:0:0:1
1:1:960:60.9933:0:0:0:1
1:1:992:35.9189:0:0:0:1
1:1:1024:63.4645:0:0:0:1
1:1:1056:118.233:0:0:0:1
1:1:1088:76.0065:0:0:0:1
1:1:1120:59.0819:0:0:0:1
1:1:1152:59.7753:0:0:0:1
1:1:1184:59.4704:0:0:0:1
1:1:1216:75.7804:0:0:0:1
1:1:1248:65.6018:0:0:0:1
1:1:1280:71.3716:0:0:0:1
1:1:1312:70.6358:0:0:0:1
1:1:1344:74.1192:0:0:0:1
1:1:1376:81.7845:0:0:0:1
1:1:1408:72.3368:0:0:0:1
1:1:1440:74.6685:0:0:0:1
1:1:1472:60.431:0:0:0:1
1:1:1504:87.3264:0:0:0:1
1:1:1536:107.187:0:0:0:1
1:1:1568:105.649:0:0:0:1
1:1:1600:108.071:0:0:0:1
1:1:1632:138.346:0:0:0:1
1:1:1664:72.2902:0:0:0:1
1:1:1696:95.1511:0:0:0:1
1:1:1728:71.2089:0:0:0:1
1:1:1760:82.938:0:0:0:1
1:1:1792:138.027:0:0:0:1
1:1:1824:99.8952:0:0:0:1
1:1:1856:102.735:0:0:0:1
1:1:1888:132.827:0:0:0:1
1:1:1920:88.1819:0:0:0:1
1:1:1952:80.6548:0:0:0:1
1:1:1984:110.975:0:0:0:1
1:1:2016:111.393:0:0:0:1
1:1:2048:133.881:0:0:0:1
1:1:2080:123.306:0:0:0:1
1:1:2112:178.11:0:0:0:1
1:1:2144:182.976:0:0:0:1
1:1:2176:128.51:0:0:0:1
1:1:2208:103.763:0:0:0:1
1:1:2240:145.309:0:0:0:1
1:1:2272:90.9645:0:0:0:1
1:1:2304:138.176:0:0:0:1
1:1:2336:98.0416:0:0:0:1
1:1:2368:142.461:0:0:0:1
1:1:2400:117.372:0:0:0:1
1:1:2432:159.339:0:0:0:1
1:1:2464:139.469:0:0:0:1
1:1:2496:218.555:0:0:0:1
1:1:2528:110.26:0:0:0:1
1:1:2560:216.597:0:0:0:1
1:1:2592:161.275:0:0:0:1
1:1:2624:161.161:0:0:0:1
1:1:2656:180.129:0:0:0:1
1:1:2688:206.9:0:0:0:1
1:1:2720:180.86:0:0:0:1
1:1:2752:145.806:0:0:0:1
1:1:2784:196.103:0:0:0:1
1:1:2816:124.688:0:0:0:1
1:1:2848:138.694:0:0:0:1
1:1:2880:147.531:0:0:0:1
1:1:2912:182.545:0:0:0:1
1:1:2944:200.927:0:0:0:1
1:1:2976:251.438:0:0:0:1
1:1:3008:147.521:0:0:0:1
1:1:3040:165.842:0:0:0:1
1:1:3072:130.892:0:0:0:1
1:1:3104:184.635:0:0:0:1
1:1:3136:176.675:0:0:0:1
1:1:3168:166.544:0:0:0:1
1:1:3200:213.432:0:0:0:1
1:1:3232:180.066:0:0:0:1
1:4:32:56.3554:0:0:0:4
1:4:64:63.849:0:0:0:4
1:4:96:77.9522:0:0:0:4
1:4:128:62.7902:0:0:0:4
